job_index	condition	stage	method	pocket	seed	num_samples	tag
0	fixed_best	single	targetdiff	1IEP	83	1500	fixed-best-targetdiff-1iep-s83-n1500-r02
1	fixed_best	single	targetdiff	1IEP	97	1500	fixed-best-targetdiff-1iep-s97-n1500-r02
2	fixed_best	single	targetdiff	1IEP	109	1500	fixed-best-targetdiff-1iep-s109-n1500-r02
3	fixed_best	single	targetdiff	2HYY	83	1500	fixed-best-targetdiff-2hyy-s83-n1500-r02
4	fixed_best	single	targetdiff	2HYY	97	1500	fixed-best-targetdiff-2hyy-s97-n1500-r02
5	fixed_best	single	targetdiff	2HYY	109	1500	fixed-best-targetdiff-2hyy-s109-n1500-r02
6	fixed_best	single	targetdiff	3CS9	83	1500	fixed-best-targetdiff-3cs9-s83-n1500-r02
7	fixed_best	single	targetdiff	3CS9	97	1500	fixed-best-targetdiff-3cs9-s97-n1500-r02
8	fixed_best	single	targetdiff	3CS9	109	1500	fixed-best-targetdiff-3cs9-s109-n1500-r02
9	fixed_best	single	targetdiff	4WA9	83	1500	fixed-best-targetdiff-4wa9-s83-n1500-r02
10	fixed_best	single	targetdiff	4WA9	97	1500	fixed-best-targetdiff-4wa9-s97-n1500-r02
11	fixed_best	single	targetdiff	4WA9	109	1500	fixed-best-targetdiff-4wa9-s109-n1500-r02
12	fixed_best	single	targetdiff	1M17	83	1500	fixed-best-targetdiff-1m17-s83-n1500-r02
13	fixed_best	single	targetdiff	1M17	97	1500	fixed-best-targetdiff-1m17-s97-n1500-r02
14	fixed_best	single	targetdiff	1M17	109	1500	fixed-best-targetdiff-1m17-s109-n1500-r02
15	single_pass	single	targetdiff	1IEP	83	500	single-pass-single-targetdiff-1iep-s83-n500-r02
16	single_pass	single	pocket2mol	1IEP	83	500	single-pass-single-pocket2mol-1iep-s83-n500-r02
17	single_pass	single	diffsbdd	1IEP	83	500	single-pass-single-diffsbdd-1iep-s83-n500-r02
18	single_pass	single	targetdiff	1IEP	97	500	single-pass-single-targetdiff-1iep-s97-n500-r02
19	single_pass	single	pocket2mol	1IEP	97	500	single-pass-single-pocket2mol-1iep-s97-n500-r02
20	single_pass	single	diffsbdd	1IEP	97	500	single-pass-single-diffsbdd-1iep-s97-n500-r02
21	single_pass	single	targetdiff	1IEP	109	500	single-pass-single-targetdiff-1iep-s109-n500-r02
22	single_pass	single	pocket2mol	1IEP	109	500	single-pass-single-pocket2mol-1iep-s109-n500-r02
23	single_pass	single	diffsbdd	1IEP	109	500	single-pass-single-diffsbdd-1iep-s109-n500-r02
24	single_pass	single	targetdiff	2HYY	83	500	single-pass-single-targetdiff-2hyy-s83-n500-r02
25	single_pass	single	pocket2mol	2HYY	83	500	single-pass-single-pocket2mol-2hyy-s83-n500-r02
26	single_pass	single	diffsbdd	2HYY	83	500	single-pass-single-diffsbdd-2hyy-s83-n500-r02
27	single_pass	single	targetdiff	2HYY	97	500	single-pass-single-targetdiff-2hyy-s97-n500-r02
28	single_pass	single	pocket2mol	2HYY	97	500	single-pass-single-pocket2mol-2hyy-s97-n500-r02
29	single_pass	single	diffsbdd	2HYY	97	500	single-pass-single-diffsbdd-2hyy-s97-n500-r02
30	single_pass	single	targetdiff	2HYY	109	500	single-pass-single-targetdiff-2hyy-s109-n500-r02
31	single_pass	single	pocket2mol	2HYY	109	500	single-pass-single-pocket2mol-2hyy-s109-n500-r02
32	single_pass	single	diffsbdd	2HYY	109	500	single-pass-single-diffsbdd-2hyy-s109-n500-r02
33	single_pass	single	targetdiff	3CS9	83	500	single-pass-single-targetdiff-3cs9-s83-n500-r02
34	single_pass	single	pocket2mol	3CS9	83	500	single-pass-single-pocket2mol-3cs9-s83-n500-r02
35	single_pass	single	diffsbdd	3CS9	83	500	single-pass-single-diffsbdd-3cs9-s83-n500-r02
36	single_pass	single	targetdiff	3CS9	97	500	single-pass-single-targetdiff-3cs9-s97-n500-r02
37	single_pass	single	pocket2mol	3CS9	97	500	single-pass-single-pocket2mol-3cs9-s97-n500-r02
38	single_pass	single	diffsbdd	3CS9	97	500	single-pass-single-diffsbdd-3cs9-s97-n500-r02
39	single_pass	single	targetdiff	3CS9	109	500	single-pass-single-targetdiff-3cs9-s109-n500-r02
40	single_pass	single	pocket2mol	3CS9	109	500	single-pass-single-pocket2mol-3cs9-s109-n500-r02
41	single_pass	single	diffsbdd	3CS9	109	500	single-pass-single-diffsbdd-3cs9-s109-n500-r02
42	single_pass	single	targetdiff	4WA9	83	500	single-pass-single-targetdiff-4wa9-s83-n500-r02
43	single_pass	single	pocket2mol	4WA9	83	500	single-pass-single-pocket2mol-4wa9-s83-n500-r02
44	single_pass	single	diffsbdd	4WA9	83	500	single-pass-single-diffsbdd-4wa9-s83-n500-r02
45	single_pass	single	targetdiff	4WA9	97	500	single-pass-single-targetdiff-4wa9-s97-n500-r02
46	single_pass	single	pocket2mol	4WA9	97	500	single-pass-single-pocket2mol-4wa9-s97-n500-r02
47	single_pass	single	diffsbdd	4WA9	97	500	single-pass-single-diffsbdd-4wa9-s97-n500-r02
48	single_pass	single	targetdiff	4WA9	109	500	single-pass-single-targetdiff-4wa9-s109-n500-r02
