condition,stage,model,pocket,seed,job_tag,sample_file,sample_path,canonical_smiles,qed,favorable_sa,selection_score,rank_in_cell,pocket_atom_fraction,pocket_compatible,centroid_distance_angstrom,severe_clash_pairs
fixed_best,single,targetdiff,1IEP,83,fixed-best-targetdiff-1iep-s83-n1500-r02,sample_0221.sdf,/var/lib/docker/my_workspace/doomx/FROGENT/runtime/evaluation/revision-20260731/gpu-followup-20260802/forge-gauge-matched-budget-prospective-recovery-r06/results/fixed-best-targetdiff-1iep-s83-n1500-r02/sample_0221.sdf,CCCC(=O)N1CCCc2cc([C@H]3Cc4ccccc4C=N3)ccc21,0.8153284918934284,0.76,0.7987299443253998,1,1.0,True,0.9962524525161657,0
fixed_best,single,targetdiff,1IEP,83,fixed-best-targetdiff-1iep-s83-n1500-r02,sample_0863.sdf,/var/lib/docker/my_workspace/doomx/FROGENT/runtime/evaluation/revision-20260731/gpu-followup-20260802/forge-gauge-matched-budget-prospective-recovery-r06/results/fixed-best-targetdiff-1iep-s83-n1500-r02/sample_0863.sdf,COc1cc(F)cc2c1C[C@H](N=c1nccc([C@@H]3C=CCCC3)[nH]1)C2=O,0.8624773309770901,0.63,0.7927341316839631,2,1.0,True,1.4464121791023257,0
fixed_best,single,targetdiff,1IEP,83,fixed-best-targetdiff-1iep-s83-n1500-r02,sample_1382.sdf,/var/lib/docker/my_workspace/doomx/FROGENT/runtime/evaluation/revision-20260731/gpu-followup-20260802/forge-gauge-matched-budget-prospective-recovery-r06/results/fixed-best-targetdiff-1iep-s83-n1500-r02/sample_1382.sdf,CCC1=CC(=NC(=O)NC2=CC=C(C)C(C)c3ncoc32)c2ccccc21,0.8124017927235758,0.65,0.7636812549065031,3,1.0,True,1.5505525418234765,0
fixed_best,single,targetdiff,1IEP,83,fixed-best-targetdiff-1iep-s83-n1500-r02,sample_0212.sdf,/var/lib/docker/my_workspace/doomx/FROGENT/runtime/evaluation/revision-20260731/gpu-followup-20260802/forge-gauge-matched-budget-prospective-recovery-r06/results/fixed-best-targetdiff-1iep-s83-n1500-r02/sample_0212.sdf,Cn1c2c(c3c1=N[C@H](c1cc(NC=O)cc(OC(N)=O)c1)C=C3)C=CCC=2,0.8089573747381336,0.63,0.7552701623166935,4,1.0,True,1.271777763025542,0
fixed_best,single,targetdiff,1IEP,83,fixed-best-targetdiff-1iep-s83-n1500-r02,sample_0949.sdf,/var/lib/docker/my_workspace/doomx/FROGENT/runtime/evaluation/revision-20260731/gpu-followup-20260802/forge-gauge-matched-budget-prospective-recovery-r06/results/fixed-best-targetdiff-1iep-s83-n1500-r02/sample_0949.sdf,CCCc1c(C)cc(C2=NC3=C(OCCOCC3)N(CC=CO)C=C2)nc1C,0.7801113224544612,0.69,0.7530779257181228,5,1.0,True,0.4496109363237231,0
fixed_best,single,targetdiff,1IEP,83,fixed-best-targetdiff-1iep-s83-n1500-r02,sample_0033.sdf,/var/lib/docker/my_workspace/doomx/FROGENT/runtime/evaluation/revision-20260731/gpu-followup-20260802/forge-gauge-matched-budget-prospective-recovery-r06/results/fixed-best-targetdiff-1iep-s83-n1500-r02/sample_0033.sdf,COc1cc(C=C2Cc3ccccc3C(C)[C@H]2C)cc2c1OCCN2C,0.7693474692225668,0.71,0.7515432284557967,6,1.0,True,1.603639816767941,0
fixed_best,single,targetdiff,1IEP,83,fixed-best-targetdiff-1iep-s83-n1500-r02,sample_1295.sdf,/var/lib/docker/my_workspace/doomx/FROGENT/runtime/evaluation/revision-20260731/gpu-followup-20260802/forge-gauge-matched-budget-prospective-recovery-r06/results/fixed-best-targetdiff-1iep-s83-n1500-r02/sample_1295.sdf,COCC1C(C)=NN(C(=O)CNC(=O)c2nccn2-c2ccc(C)cc2)C1=C1C=CC=C1,0.7617938229680821,0.69,0.7402556760776574,7,1.0,True,0.9034246961459901,0
fixed_best,single,targetdiff,1IEP,83,fixed-best-targetdiff-1iep-s83-n1500-r02,sample_0105.sdf,/var/lib/docker/my_workspace/doomx/FROGENT/runtime/evaluation/revision-20260731/gpu-followup-20260802/forge-gauge-matched-budget-prospective-recovery-r06/results/fixed-best-targetdiff-1iep-s83-n1500-r02/sample_0105.sdf,CN1C(=NCn2nc(Oc3ccccc3)c(=O)[nH]2)[C@@H]2C=CC(=O)C=C2[C@@H]1CO,0.7886690962715055,0.61,0.7350683673900538,8,1.0,True,1.468416949025321,0
fixed_best,single,targetdiff,1IEP,83,fixed-best-targetdiff-1iep-s83-n1500-r02,sample_1364.sdf,/var/lib/docker/my_workspace/doomx/FROGENT/runtime/evaluation/revision-20260731/gpu-followup-20260802/forge-gauge-matched-budget-prospective-recovery-r06/results/fixed-best-targetdiff-1iep-s83-n1500-r02/sample_1364.sdf,CCNC=C1C=N[C@H]2C1=CC=CC(=O)N2CN=C1C=C(C2=CC=CC2)C=CC1,0.8042403264308514,0.57,0.733968228501596,9,1.0,True,0.44517876309483345,0
fixed_best,single,targetdiff,1IEP,83,fixed-best-targetdiff-1iep-s83-n1500-r02,sample_0813.sdf,/var/lib/docker/my_workspace/doomx/FROGENT/runtime/evaluation/revision-20260731/gpu-followup-20260802/forge-gauge-matched-budget-prospective-recovery-r06/results/fixed-best-targetdiff-1iep-s83-n1500-r02/sample_0813.sdf,C[C@H]1C[C@@H]2NCC[C@@H]2N(C2C=NC(=Nc3ccc(N(C)O)cc3)O2)C1=O,0.8009117961422695,0.56,0.7286382572995886,10,1.0,True,1.21281474186231,0
