display_name,model_id,transport,task,status,score,measured_cases,wall_seconds,provider,returned_model,source_run
GPT-5.4,gpt-5.4,codex,foundational_biomedical_knowledge,scored,0.1,20,170.6543871248141,,,runtime/evaluation/revision-20260805/clean-ten-model-panel-budget-controlled-r03
GPT-5.4,gpt-5.4,codex,retrieve_known_drugs,scored,0.35,20,190.61385195795447,,,runtime/evaluation/revision-20260805/clean-ten-model-panel-budget-controlled-r03
GPT-5.4,gpt-5.4,codex,retrieve_known_targets,scored,0.3,20,144.75786708435044,,,runtime/evaluation/revision-20260805/clean-ten-model-panel-budget-controlled-r03
GPT-5.4,gpt-5.4,codex,molecular_property_prediction,scored,0.5423733887811493,20,134.34296174999326,,,runtime/evaluation/revision-20260805/clean-ten-model-panel-budget-controlled-r03
GPT-5.4,gpt-5.4,codex,virtual_screening,scored,0.3157894736842105,19,186.20030779205263,,,runtime/evaluation/revision-20260805/clean-ten-model-panel-budget-controlled-r03
GPT-5.4,gpt-5.4,codex,binding_mechanism,scored,0.19,20,135.73763541691005,,,runtime/evaluation/revision-20260805/clean-ten-model-panel-budget-controlled-r03
GPT-5.4,gpt-5.4,codex,molecular_design,scored,0.9037240614760321,20,169.26735429093242,,,runtime/evaluation/revision-20260805/clean-ten-model-panel-budget-controlled-r03
GPT-5.4,gpt-5.4,codex,retrosynthesis_planning,scored,0.05,20,165.64440899994224,,,runtime/evaluation/revision-20260805/clean-ten-model-panel-budget-controlled-r03
GPT-5.5,gpt-5.5,codex,foundational_biomedical_knowledge,scored,0.15,20,121.48229749966413,,,runtime/evaluation/revision-20260805/clean-ten-model-panel-budget-controlled-r03
GPT-5.5,gpt-5.5,codex,retrieve_known_drugs,scored,0.48,20,180.1089480421506,,,runtime/evaluation/revision-20260805/clean-ten-model-panel-budget-controlled-r03
GPT-5.5,gpt-5.5,codex,retrieve_known_targets,scored,0.2833333333333333,20,126.7881737081334,,,runtime/evaluation/revision-20260805/clean-ten-model-panel-budget-controlled-r03
GPT-5.5,gpt-5.5,codex,molecular_property_prediction,scored,0.622795056434495,20,131.0116343749687,,,runtime/evaluation/revision-20260805/clean-ten-model-panel-budget-controlled-r03
GPT-5.5,gpt-5.5,codex,virtual_screening,scored,0.3684210526315789,19,168.4241555831395,,,runtime/evaluation/revision-20260805/clean-ten-model-panel-budget-controlled-r03
GPT-5.5,gpt-5.5,codex,binding_mechanism,scored,0.28,20,517.414889540989,,,runtime/evaluation/revision-20260805/clean-ten-model-panel-gpt55-large-input-recovery-r09
GPT-5.5,gpt-5.5,codex,molecular_design,scored,0.9356780907070135,20,536.3129491670989,,,runtime/evaluation/revision-20260805/clean-ten-model-panel-gpt55-large-input-recovery-r09
GPT-5.5,gpt-5.5,codex,retrosynthesis_planning,scored,0.475,20,144.1888420409523,,,runtime/evaluation/revision-20260805/clean-ten-model-panel-budget-controlled-r03
GPT-5.6 Sol,gpt-5.6-sol,codex,foundational_biomedical_knowledge,scored,0.15,20,140.95771412504837,,,runtime/evaluation/revision-20260805/clean-ten-model-panel-budget-controlled-r03
GPT-5.6 Sol,gpt-5.6-sol,codex,retrieve_known_drugs,scored,0.15,20,159.4527842081152,,,runtime/evaluation/revision-20260805/clean-ten-model-panel-budget-controlled-r03
GPT-5.6 Sol,gpt-5.6-sol,codex,retrieve_known_targets,scored,0.31666666666666665,20,133.30399291589856,,,runtime/evaluation/revision-20260805/clean-ten-model-panel-budget-controlled-r03
GPT-5.6 Sol,gpt-5.6-sol,codex,molecular_property_prediction,scored,0.7662723934957497,20,183.55919033428654,,,runtime/evaluation/revision-20260805/clean-ten-model-panel-budget-controlled-r03
GPT-5.6 Sol,gpt-5.6-sol,codex,virtual_screening,scored,0.42105263157894735,19,179.9212780832313,,,runtime/evaluation/revision-20260805/clean-ten-model-panel-budget-controlled-r03
