display_name,model_id,macro_mean,bootstrap_ci_low,bootstrap_ci_high,scored_tasks
GPT-5.4,gpt-5.4,0.34398586549267396,0.18602035780817,0.5354481308616815,8
GPT-5.5,gpt-5.5,0.4494034416383026,0.3026520136332592,0.6191453327361085,8
GPT-5.6 Sol,gpt-5.6-sol,0.4453117487772834,0.2802631578947368,0.632164934870519,8
DeepSeek V4 Flash,deepseek/deepseek-v4-flash-0731,0.3294162219997494,0.17541666666666667,0.497452286150926,8
DeepSeek V4 Pro,deepseek/deepseek-v4-pro,0.3419065360238083,0.15149122807017543,0.5618105709745269,8
Kimi K2.5,moonshotai/kimi-k2.5,0.3516472749065972,0.16015350877192983,0.5780767380827178,8
Qwen3.7 Plus,qwen/qwen3.7-plus,0.3243594193561452,0.13125,0.5555732373159027,8
GLM 5.2,z-ai/glm-5.2,0.330242218649077,0.1585330840335285,0.5355366444940357,8
MiniMax M3,minimax/minimax-m3,0.40478394197253503,0.22884100317427666,0.6077477085064735,8
MiMo V2.5,xiaomi/mimo-v2.5,0.32619000465757486,0.1838486842105263,0.48264378356427146,8
