display_name,model_id,transport,task,case_index,score,status
GPT-5.4,gpt-5.4,codex,foundational_biomedical_knowledge,1,1.0,scored
GPT-5.4,gpt-5.4,codex,foundational_biomedical_knowledge,2,0.0,scored
GPT-5.4,gpt-5.4,codex,foundational_biomedical_knowledge,3,0.0,scored
GPT-5.4,gpt-5.4,codex,foundational_biomedical_knowledge,4,0.0,scored
GPT-5.4,gpt-5.4,codex,foundational_biomedical_knowledge,5,0.0,scored
GPT-5.4,gpt-5.4,codex,foundational_biomedical_knowledge,6,0.0,scored
GPT-5.4,gpt-5.4,codex,foundational_biomedical_knowledge,7,0.0,scored
GPT-5.4,gpt-5.4,codex,foundational_biomedical_knowledge,8,0.0,scored
GPT-5.4,gpt-5.4,codex,foundational_biomedical_knowledge,9,0.0,scored
GPT-5.4,gpt-5.4,codex,foundational_biomedical_knowledge,10,0.0,scored
GPT-5.4,gpt-5.4,codex,foundational_biomedical_knowledge,11,0.0,scored
GPT-5.4,gpt-5.4,codex,foundational_biomedical_knowledge,12,0.0,scored
GPT-5.4,gpt-5.4,codex,foundational_biomedical_knowledge,13,0.0,scored
GPT-5.4,gpt-5.4,codex,foundational_biomedical_knowledge,14,0.0,scored
GPT-5.4,gpt-5.4,codex,foundational_biomedical_knowledge,15,0.0,scored
GPT-5.4,gpt-5.4,codex,foundational_biomedical_knowledge,16,0.0,scored
GPT-5.4,gpt-5.4,codex,foundational_biomedical_knowledge,17,1.0,scored
GPT-5.4,gpt-5.4,codex,foundational_biomedical_knowledge,18,0.0,scored
GPT-5.4,gpt-5.4,codex,foundational_biomedical_knowledge,19,0.0,scored
GPT-5.4,gpt-5.4,codex,foundational_biomedical_knowledge,20,0.0,scored
GPT-5.4,gpt-5.4,codex,retrieve_known_drugs,1,1.0,scored
GPT-5.4,gpt-5.4,codex,retrieve_known_drugs,2,0.4,scored
GPT-5.4,gpt-5.4,codex,retrieve_known_drugs,3,0.4,scored
GPT-5.4,gpt-5.4,codex,retrieve_known_drugs,4,0.6,scored
GPT-5.4,gpt-5.4,codex,retrieve_known_drugs,5,0.6,scored
GPT-5.4,gpt-5.4,codex,retrieve_known_drugs,6,0.6,scored
GPT-5.4,gpt-5.4,codex,retrieve_known_drugs,7,0.4,scored
GPT-5.4,gpt-5.4,codex,retrieve_known_drugs,8,0.4,scored
GPT-5.4,gpt-5.4,codex,retrieve_known_drugs,9,0.6,scored
GPT-5.4,gpt-5.4,codex,retrieve_known_drugs,10,0.8,scored
GPT-5.4,gpt-5.4,codex,retrieve_known_drugs,11,0.0,scored
GPT-5.4,gpt-5.4,codex,retrieve_known_drugs,12,0.0,scored
GPT-5.4,gpt-5.4,codex,retrieve_known_drugs,13,0.4,scored
GPT-5.4,gpt-5.4,codex,retrieve_known_drugs,14,0.6,scored
GPT-5.4,gpt-5.4,codex,retrieve_known_drugs,15,0.2,scored
GPT-5.4,gpt-5.4,codex,retrieve_known_drugs,16,0.0,scored
GPT-5.4,gpt-5.4,codex,retrieve_known_drugs,17,0.0,scored
GPT-5.4,gpt-5.4,codex,retrieve_known_drugs,18,0.0,scored
GPT-5.4,gpt-5.4,codex,retrieve_known_drugs,19,0.0,scored
GPT-5.4,gpt-5.4,codex,retrieve_known_drugs,20,0.0,scored
GPT-5.4,gpt-5.4,codex,retrieve_known_targets,1,0.3333333333333333,scored
GPT-5.4,gpt-5.4,codex,retrieve_known_targets,2,0.0,scored
GPT-5.4,gpt-5.4,codex,retrieve_known_targets,3,0.3333333333333333,scored
GPT-5.4,gpt-5.4,codex,retrieve_known_targets,4,0.6666666666666666,scored
GPT-5.4,gpt-5.4,codex,retrieve_known_targets,5,0.3333333333333333,scored
GPT-5.4,gpt-5.4,codex,retrieve_known_targets,6,0.3333333333333333,scored
GPT-5.4,gpt-5.4,codex,retrieve_known_targets,7,0.0,scored
GPT-5.4,gpt-5.4,codex,retrieve_known_targets,8,0.0,scored
GPT-5.4,gpt-5.4,codex,retrieve_known_targets,9,0.6666666666666666,scored
GPT-5.4,gpt-5.4,codex,retrieve_known_targets,10,0.3333333333333333,scored
GPT-5.4,gpt-5.4,codex,retrieve_known_targets,11,0.0,scored
GPT-5.4,gpt-5.4,codex,retrieve_known_targets,12,0.0,scored
GPT-5.4,gpt-5.4,codex,retrieve_known_targets,13,0.3333333333333333,scored
GPT-5.4,gpt-5.4,codex,retrieve_known_targets,14,0.6666666666666666,scored
GPT-5.4,gpt-5.4,codex,retrieve_known_targets,15,0.3333333333333333,scored
GPT-5.4,gpt-5.4,codex,retrieve_known_targets,16,0.3333333333333333,scored
GPT-5.4,gpt-5.4,codex,retrieve_known_targets,17,0.3333333333333333,scored
GPT-5.4,gpt-5.4,codex,retrieve_known_targets,18,0.3333333333333333,scored
GPT-5.4,gpt-5.4,codex,retrieve_known_targets,19,0.3333333333333333,scored
GPT-5.4,gpt-5.4,codex,retrieve_known_targets,20,0.3333333333333333,scored
GPT-5.4,gpt-5.4,codex,molecular_property_prediction,1,0.3897810218978102,scored
GPT-5.4,gpt-5.4,codex,molecular_property_prediction,2,0.5776061776061776,scored
GPT-5.4,gpt-5.4,codex,molecular_property_prediction,3,0.7963470319634703,scored
GPT-5.4,gpt-5.4,codex,molecular_property_prediction,4,0.41176790843531075,scored
GPT-5.4,gpt-5.4,codex,molecular_property_prediction,5,0.594756554307116,scored
GPT-5.4,gpt-5.4,codex,molecular_property_prediction,6,0.7832993890020367,scored
GPT-5.4,gpt-5.4,codex,molecular_property_prediction,7,0.5777777777777777,scored
GPT-5.4,gpt-5.4,codex,molecular_property_prediction,8,0.798645598194131,scored
GPT-5.4,gpt-5.4,codex,molecular_property_prediction,9,0.7990521327014217,scored
GPT-5.4,gpt-5.4,codex,molecular_property_prediction,10,0.5990654205607477,scored
